idx,review,gold,raw_output,parsed_json,predicted,valid_json
127,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives.""}",5,True
128,Great ambiance and prompt service.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
129,Not worth the price.,2,"{""predicted_stars"":1,""explanation"":""Negative sentiment indicates dissatisfaction with value.""}","{""predicted_stars"": 1, ""explanation"": ""Negative sentiment indicates dissatisfaction with value.""}",1,True
130,Perfect for a quick lunch. Will return.,4,"{""predicted_stars"":5, ""explanation"":""Positive sentiment, indicating satisfaction with the experience.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, indicating satisfaction with the experience.""}",5,True
131,The food was amazing and service was excellent. Loved it!,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives, excellent food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives, excellent food and service.""}",5,True
132,The food was amazing and service was excellent. Loved it!,5,"{""predicted_stars"":5, ""explanation"":""Food and service were both praised highly.""}","{""predicted_stars"": 5, ""explanation"": ""Food and service were both praised highly.""}",5,True
133,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
134,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff but average food leads to a mixed sentiment.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a mixed sentiment.""}",3,True
135,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with positive ambiance but negative satisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with positive ambiance but negative satisfaction.""}",3,True
136,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives.""}",5,True
137,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives.""}",5,True
138,Not worth the price. Highly recommend.,2,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a negative price comment.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a negative price comment.""}",3,True
139,Terrible experience — cold food and rude staff. Loved it!,1,"{""predicted_stars"": 2, ""explanation"": ""Cold food and rude staff overshadowed the positive.""}","{""predicted_stars"": 2, ""explanation"": ""Cold food and rude staff overshadowed the positive.""}",2,True
140,Perfect for a quick lunch. Will return. Loved it!,4,"{""predicted_stars"":5, ""explanation"":""Positive sentiment, enjoyed the experience, plans to return.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, enjoyed the experience, plans to return.""}",5,True
141,Waited 45 minutes. Will not come back. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Long wait and dissatisfaction indicate a poor experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait and dissatisfaction indicate a poor experience.""}",1,True
142,Order was wrong and they didn't fix it. Not satisfied.,1,"{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not fixed, leading to dissatisfaction.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not fixed, leading to dissatisfaction.""}",2,True
143,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
144,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
145,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
146,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
147,Great ambiance and prompt service. Loved it!,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
148,Perfect for a quick lunch. Will return. Could be better.,4,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a positive note but room for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a positive note but room for improvement.""}",3,True
149,Decent place. Portion sizes were small but taste was good. Highly recommend.,3,"{""predicted_stars"":4, ""explanation"":""Good taste but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste but small portion sizes.""}",4,True
150,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives mentioned.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives mentioned.""}",5,True
151,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives mentioned.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives mentioned.""}",5,True
152,Perfect for a quick lunch. Will return. Loved it!,4,"{""predicted_stars"":5, ""explanation"":""Positive sentiment, enjoyed the experience, plans to return.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, enjoyed the experience, plans to return.""}",5,True
153,Decent place. Portion sizes were small but taste was good. Not satisfied.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with small portions and good taste.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with small portions and good taste.""}",3,True
154,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Both food and service received high praise.""}","{""predicted_stars"": 5, ""explanation"": ""Both food and service received high praise.""}",5,True
155,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
156,Perfect for a quick lunch. Will return. Not satisfied.,4,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a positive note but also dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a positive note but also dissatisfaction.""}",3,True
157,Not worth the price.,2,"{""predicted_stars"":2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
158,Order was wrong and they didn't fix it. Loved it!,1,"{""predicted_stars"":3, ""explanation"":""Order was wrong, but there was a positive sentiment.""}","{""predicted_stars"": 3, ""explanation"": ""Order was wrong, but there was a positive sentiment.""}",3,True
159,Not worth the price.,2,"{""predicted_stars"":1,""explanation"":""Negative sentiment indicates dissatisfaction with value.""}","{""predicted_stars"": 1, ""explanation"": ""Negative sentiment indicates dissatisfaction with value.""}",1,True
160,Not worth the price.,2,"{""predicted_stars"":2, ""explanation"":""Negative sentiment about value suggests dissatisfaction.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value suggests dissatisfaction.""}",2,True
161,The food was amazing and service was excellent. Could be better.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a suggestion for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a suggestion for improvement.""}",3,True
162,Order was wrong and they didn't fix it. Loved it!,1,"{""predicted_stars"":3, ""explanation"":""Order was wrong, but there was a positive sentiment.""}","{""predicted_stars"": 3, ""explanation"": ""Order was wrong, but there was a positive sentiment.""}",3,True
163,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
164,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
165,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
166,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
167,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
168,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives, excellent food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives, excellent food and service.""}",5,True
169,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
170,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff but average food leads to a mixed experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a mixed experience.""}",3,True
171,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
172,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
173,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 1, ""explanation"": ""Order was wrong and not corrected.""}","{""predicted_stars"": 1, ""explanation"": ""Order was wrong and not corrected.""}",1,True
174,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with a highlight on fantastic dessert.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with a highlight on fantastic dessert.""}",5,True
175,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
176,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
177,Order was wrong and they didn't fix it. Highly recommend.,1,"{""predicted_stars"":3, ""explanation"":""Order was wrong, but recommendation suggests some positive aspects.""}","{""predicted_stars"": 3, ""explanation"": ""Order was wrong, but recommendation suggests some positive aspects.""}",3,True
178,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
179,Not worth the price. Highly recommend.,2,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment; recommendation contrasts with value perception.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment; recommendation contrasts with value perception.""}",3,True
180,Great ambiance and prompt service.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
181,Decent place. Portion sizes were small but taste was good. Highly recommend.,3,"{""predicted_stars"":4, ""explanation"":""Good taste but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste but small portion sizes.""}",4,True
182,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
183,The food was amazing and service was excellent. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment despite positive comments.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment despite positive comments.""}",3,True
184,Great ambiance and prompt service. Loved it!,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
185,Not worth the price. Not satisfied.,2,"{""predicted_stars"": 2, ""explanation"": ""Negative sentiment and dissatisfaction with value.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment and dissatisfaction with value.""}",2,True
186,Perfect for a quick lunch. Will return. Could be better.,4,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with a positive note but suggests room for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with a positive note but suggests room for improvement.""}",3,True
187,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
188,Waited 45 minutes. Will not come back. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"": ""Long wait and dissatisfaction indicate a poor experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait and dissatisfaction indicate a poor experience.""}",1,True
189,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"":1,""explanation"":""Long wait time led to a negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait time led to a negative experience.""}",1,True
190,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with a fantastic dessert experience.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with a fantastic dessert experience.""}",5,True
191,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff but average food leads to a mixed experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a mixed experience.""}",3,True
192,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with positive ambiance but negative satisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with positive ambiance but negative satisfaction.""}",3,True
193,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
194,The food was amazing and service was excellent. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment despite positive comments.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment despite positive comments.""}",3,True
195,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with a highlight on fantastic dessert.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with a highlight on fantastic dessert.""}",5,True
196,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
197,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
198,Great ambiance and prompt service.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no explicit negatives.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no explicit negatives.""}",5,True
199,Not worth the price.,2,"{""predicted_stars"":2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
